groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
transc,8,sentence-post,,,4668.5449999934,1,,
transc,8,recall-post,6,4,6133.4499999941,1,LJKR,LJKR
transc,10,sentence-pre,,,3085,1,,
transc,10,sentence-pre,,,2912,1,,
transc,10,sentence-pre,,,3399,1,,
transc,10,sentence-pre,,,3573,1,,
transc,10,sentence-pre,,,3944,1,,
transc,10,sentence-pre,,,4592,1,,
transc,10,recall-pre,1,6,12805,1,PHJYSR,PHJYSR
transc,10,sentence-pre,,,3366,1,,
transc,10,sentence-pre,,,3724,1,,
transc,10,sentence-pre,,,3105,1,,
transc,10,sentence-pre,,,4015,1,,
transc,10,sentence-pre,,,3302,1,,
transc,10,recall-pre,2,5,13629,0,KLYHS,KLYR
transc,10,sentence-pre,,,3630,1,,
transc,10,sentence-pre,,,2898,1,,
transc,10,sentence-pre,,,3542,1,,
transc,10,sentence-pre,,,3848,1,,
transc,10,sentence-pre,,,3936,1,,
transc,10,recall-pre,3,5,9741,0,TYJKP,TY_KP
transc,10,sentence-pre,,,3264,1,,
transc,10,sentence-pre,,,3415,1,,
transc,10,sentence-pre,,,4845,1,,
transc,10,sentence-pre,,,5124,0,,
transc,10,recall-pre,4,4,8472,0,QFHL,QP_L
transc,10,sentence-pre,,,4466,1,,
transc,10,sentence-pre,,,2299,1,,
transc,10,sentence-pre,,,2809,1,,
transc,10,sentence-pre,,,5312,1,,
transc,10,sentence-pre,,,5133,1,,
transc,10,sentence-pre,,,4873,1,,
transc,10,recall-pre,5,6,11927,1,SNTQKF,SNTQKF
transc,10,sentence-pre,,,4519,1,,
transc,10,sentence-pre,,,4425,1,,
transc,10,sentence-pre,,,3340,1,,
transc,10,sentence-pre,,,3143,1,,
transc,10,recall-pre,6,4,7643,1,LYST,LYST
transc,10,sentence-post,,,5583,1,,
transc,10,sentence-post,,,4733,1,,
transc,10,sentence-post,,,3401,1,,
transc,10,sentence-post,,,4229,1,,
transc,10,sentence-post,,,3458,0,,
transc,10,sentence-post,,,3993,1,,
transc,10,recall-post,1,6,8269,0,QHTRPN,QHTPR_
transc,10,sentence-post,,,3682,0,,
transc,10,sentence-post,,,4463,0,,
transc,10,sentence-post,,,3483,1,,
transc,10,sentence-post,,,3955,1,,
transc,10,sentence-post,,,3353,1,,
transc,10,recall-post,2,5,6291,1,TNLKF,TNLKF
transc,10,sentence-post,,,3374,1,,
transc,10,sentence-post,,,3176,1,,
transc,10,sentence-post,,,2573,1,,
transc,10,sentence-post,,,3266,1,,
transc,10,sentence-post,,,3261,1,,
transc,10,recall-post,3,5,17775,0,KFLSR,KLQF_
transc,10,sentence-post,,,2996,1,,
transc,10,sentence-post,,,3830,1,,
transc,10,sentence-post,,,2679,1,,
transc,10,sentence-post,,,4710,1,,
transc,10,sentence-post,,,4377,1,,
transc,10,sentence-post,,,4833,1,,
transc,10,recall-post,4,6,9284,0,NSYHLR,_____R
transc,10,sentence-post,,,4881,1,,
transc,10,sentence-post,,,3644,1,,
transc,10,sentence-post,,,4548,1,,
transc,10,sentence-post,,,3688,1,,
transc,10,recall-post,5,4,5221,1,STHN,STHN
transc,10,sentence-post,,,3530,1,,
transc,10,sentence-post,,,4463,1,,
transc,10,sentence-post,,,2375,1,,
transc,10,sentence-post,,,4079,1,,
transc,10,recall-post,6,4,6450,0,KPNY,KLPY
transc,20,sentence-pre,,,3850,1,,
transc,20,sentence-pre,,,4385,1,,
transc,20,sentence-pre,,,4785,1,,
transc,20,sentence-pre,,,4738,1,,
transc,20,sentence-pre,,,4161,1,,
transc,20,recall-pre,1,5,8316,1,LNHSY,LNHSY
transc,20,sentence-pre,,,5942,1,,
transc,20,sentence-pre,,,3768,1,,
transc,20,sentence-pre,,,4520,1,,
transc,20,sentence-pre,,,5586,1,,
transc,20,recall-pre,2,4,6102,1,QFYT,QFYT
transc,20,sentence-pre,,,4327,1,,
transc,20,sentence-pre,,,3725,1,,
transc,20,sentence-pre,,,4907,1,,
transc,20,sentence-pre,,,6654,1,,
transc,20,sentence-pre,,,6281,1,,
transc,20,sentence-pre,,,5957,1,,
transc,20,recall-pre,3,6,7142,1,FKLQTP,FKLQTP
transc,20,sentence-pre,,,3480,1,,
transc,20,sentence-pre,,,3464,1,,
transc,20,sentence-pre,,,3455,1,,
transc,20,sentence-pre,,,4216,1,,
transc,20,sentence-pre,,,3520,1,,
transc,20,recall-pre,4,5,6108,1,FRTQJ,FRTQJ
transc,20,sentence-pre,,,5938,0,,
transc,20,sentence-pre,,,6449,1,,
transc,20,sentence-pre,,,3442,1,,
transc,20,sentence-pre,,,4278,1,,
transc,20,sentence-pre,,,6211,1,,
transc,20,sentence-pre,,,3825,1,,
transc,20,recall-pre,5,6,5613,1,LTHYNR,LTHYNR
transc,20,sentence-pre,,,4970,1,,
transc,20,sentence-pre,,,2691,1,,
transc,20,sentence-pre,,,4467,1,,
transc,20,sentence-pre,,,3000,1,,
transc,20,recall-pre,6,4,4678,1,HLPR,HLPR
transc,20,sentence-post,,,5026,1,,
transc,20,sentence-post,,,4325,1,,
transc,20,sentence-post,,,3067,1,,
transc,20,sentence-post,,,4416,1,,
transc,20,sentence-post,,,5313,1,,
transc,20,recall-post,1,5,9424,1,KSHQN,KSHQN
